Sr. No,Date Time,Slots occupied,Target,Parking Availability,Car Type
1024,03-01-2024 11:09,0,0.00%,No,SUV
1025,03-01-2024 11:12,0,0.00%,No,SUV
1026,03-01-2024 11:15,0,0.00%,No,SUV
1027,03-01-2024 11:18,0,0.00%,No,SUV
1028,03-01-2024 11:21,0,0.00%,No,SUV
1029,03-01-2024 11:24,0,0.00%,No,SUV
1030,03-01-2024 11:27,0,0.00%,No,SUV
1031,03-01-2024 11:30,0,0.00%,No,SUV
1032,03-01-2024 11:33,0,0.00%,No,SUV
1033,03-01-2024 11:36,0,0.00%,No,SUV
1034,03-01-2024 11:39,0,0.00%,No,SUV
1035,03-01-2024 11:42,0,0.00%,No,SUV
1036,03-01-2024 11:45,0,0.00%,No,SUV
1037,03-01-2024 11:48,0,0.00%,No,SUV
1038,03-01-2024 11:51,0,0.00%,No,SUV
1039,03-01-2024 11:54,0,0.00%,No,SUV
1040,03-01-2024 11:57,0,0.00%,No,SUV
1041,03-01-2024 12:00,0,0.00%,No,SUV
1042,03-01-2024 12:03,0,0.00%,No,SUV
1043,03-01-2024 12:06,0,0.00%,No,SUV
1044,03-01-2024 12:09,0,0.00%,No,SUV
1045,03-01-2024 12:12,0,0.00%,No,SUV
1046,03-01-2024 12:15,0,0.00%,No,SUV
1047,03-01-2024 12:18,0,0.00%,No,SUV
1048,03-01-2024 12:21,0,0.00%,No,SUV
1049,03-01-2024 12:24,0,0.00%,No,SUV
1050,03-01-2024 12:27,0,0.00%,No,SUV
1051,03-01-2024 12:30,0,0.00%,No,SUV
1052,03-01-2024 12:33,0,0.00%,No,SUV
1053,03-01-2024 12:36,0,0.00%,No,SUV
1054,03-01-2024 12:39,0,0.00%,No,SUV
1055,03-01-2024 12:42,0,0.00%,No,SUV
1056,03-01-2024 12:45,0,0.00%,No,SUV
1057,03-01-2024 12:48,0,0.00%,No,SUV
1058,03-01-2024 12:51,0,0.00%,No,SUV
1059,03-01-2024 12:54,0,0.00%,No,SUV
1060,03-01-2024 12:57,0,0.00%,No,SUV
1061,03-01-2024 13:00,0,0.00%,No,SUV
1062,03-01-2024 13:03,0,0.00%,No,SUV
1063,03-01-2024 13:06,0,0.00%,No,SUV
1064,03-01-2024 13:09,0,0.00%,No,SUV
1065,03-01-2024 13:12,0,0.00%,No,SUV
1066,03-01-2024 13:15,0,0.00%,No,SUV
1067,03-01-2024 13:18,0,0.00%,No,SUV
1068,03-01-2024 13:21,0,0.00%,No,SUV
1069,03-01-2024 13:24,0,0.00%,No,SUV
1070,03-01-2024 13:27,0,0.00%,No,SUV
1071,03-01-2024 13:30,0,0.00%,No,SUV
1072,03-01-2024 13:33,0,0.00%,No,SUV
1073,03-01-2024 13:36,0,0.00%,No,SUV
1074,03-01-2024 13:39,0,0.00%,No,SUV
1075,03-01-2024 13:42,0,0.00%,No,SUV
1076,03-01-2024 13:45,0,0.00%,No,SUV
1077,03-01-2024 13:48,0,0.00%,No,SUV
1078,03-01-2024 13:51,0,0.00%,No,SUV
1079,03-01-2024 13:54,0,0.00%,No,SUV
1080,03-01-2024 13:57,0,0.00%,No,SUV
1081,03-01-2024 14:00,0,0.00%,No,SUV
1082,03-01-2024 14:03,0,0.00%,No,SUV
1083,03-01-2024 14:06,0,0.00%,No,SUV
1084,03-01-2024 14:09,0,0.00%,No,SUV
1085,03-01-2024 14:12,0,0.00%,No,SUV
1086,03-01-2024 14:15,0,0.00%,No,SUV
1087,03-01-2024 14:18,0,0.00%,No,SUV
1088,03-01-2024 14:21,0,0.00%,No,SUV
1089,03-01-2024 14:24,0,0.00%,No,SUV
1090,03-01-2024 14:27,0,0.00%,No,SUV
1091,03-01-2024 14:30,0,0.00%,No,SUV
1092,03-01-2024 14:33,0,0.00%,No,SUV
1093,03-01-2024 14:36,0,0.00%,No,SUV
1094,03-01-2024 14:39,0,0.00%,No,SUV
1095,03-01-2024 14:42,0,0.00%,No,SUV
1096,03-01-2024 14:45,0,0.00%,No,SUV
1097,03-01-2024 14:48,0,0.00%,No,SUV
1098,03-01-2024 14:51,0,0.00%,No,SUV
1099,03-01-2024 14:54,0,0.00%,No,SUV
1100,03-01-2024 14:57,0,0.00%,No,SUV
1101,03-01-2024 15:00,0,0.00%,No,SUV
1102,03-01-2024 15:03,0,0.00%,No,SUV
1103,03-01-2024 15:06,0,0.00%,No,SUV
1104,03-01-2024 15:09,0,0.00%,No,SUV
1105,03-01-2024 15:12,0,0.00%,No,SUV
1106,03-01-2024 15:15,0,0.00%,No,SUV
1107,03-01-2024 15:18,0,0.00%,No,SUV
1108,03-01-2024 15:21,0,0.00%,No,SUV
1109,03-01-2024 15:24,0,0.00%,No,SUV
1110,03-01-2024 15:27,0,0.00%,No,SUV
1111,03-01-2024 15:30,0,0.00%,No,SUV
1112,03-01-2024 15:33,0,0.00%,No,SUV
1113,03-01-2024 15:36,0,0.00%,No,SUV
1114,03-01-2024 15:39,0,0.00%,No,SUV
1115,03-01-2024 15:42,0,0.00%,No,SUV
1116,03-01-2024 15:45,0,0.00%,No,SUV
1117,03-01-2024 15:48,0,0.00%,No,SUV
1118,03-01-2024 15:51,0,0.00%,No,SUV
1119,03-01-2024 15:54,0,0.00%,No,SUV
1120,03-01-2024 15:57,0,0.00%,No,SUV
1121,03-01-2024 16:00,0,0.00%,No,SUV
1122,03-01-2024 16:03,0,0.00%,No,SUV
1123,03-01-2024 16:06,0,0.00%,No,SUV
1124,03-01-2024 16:09,0,0.00%,No,SUV
1125,03-01-2024 16:12,0,0.00%,No,SUV
1126,03-01-2024 16:15,0,0.00%,No,SUV
1127,03-01-2024 16:18,0,0.00%,No,SUV
1128,03-01-2024 16:21,0,0.00%,No,SUV
1129,03-01-2024 16:24,0,0.00%,No,SUV
1130,03-01-2024 16:27,0,0.00%,No,SUV
1131,03-01-2024 16:30,0,0.00%,No,SUV
1132,03-01-2024 16:33,0,0.00%,No,SUV
1133,03-01-2024 16:36,0,0.00%,No,SUV
1134,03-01-2024 16:39,0,0.00%,No,SUV
1135,03-01-2024 16:42,0,0.00%,No,SUV
1136,03-01-2024 16:45,0,0.00%,No,SUV
1137,03-01-2024 16:48,0,0.00%,No,SUV
1138,03-01-2024 16:51,0,0.00%,No,SUV
1139,03-01-2024 16:54,0,0.00%,No,SUV
1140,03-01-2024 16:57,0,0.00%,No,SUV
1141,03-01-2024 17:00,0,0.00%,No,SUV
1142,03-01-2024 17:03,0,0.00%,No,SUV
1143,03-01-2024 17:06,0,0.00%,No,SUV
1144,03-01-2024 17:09,0,0.00%,No,SUV
1145,03-01-2024 17:12,0,0.00%,No,SUV
1146,03-01-2024 17:15,0,0.00%,No,SUV
1147,03-01-2024 17:18,0,0.00%,No,SUV
1148,03-01-2024 17:21,0,0.00%,No,SUV
1149,03-01-2024 17:24,0,0.00%,No,SUV
1150,03-01-2024 17:27,0,0.00%,No,SUV
1151,03-01-2024 17:30,0,0.00%,No,SUV
1152,03-01-2024 17:33,0,0.00%,No,SUV
1153,03-01-2024 17:36,0,0.00%,No,SUV
1154,03-01-2024 17:39,0,0.00%,No,SUV
1155,03-01-2024 17:42,0,0.00%,No,SUV
1156,03-01-2024 17:45,0,0.00%,No,SUV
1157,03-01-2024 17:48,0,0.00%,No,SUV
1158,03-01-2024 17:51,0,0.00%,No,SUV
1159,03-01-2024 17:54,0,0.00%,No,SUV
1160,03-01-2024 17:57,0,0.00%,No,SUV
1161,03-01-2024 18:00,0,0.00%,No,SUV
1162,03-01-2024 18:03,0,0.00%,No,SUV
1163,03-01-2024 18:06,0,0.00%,No,SUV
1164,03-01-2024 18:09,0,0.00%,No,SUV
1165,03-01-2024 18:12,0,0.00%,No,SUV
1166,03-01-2024 18:15,0,0.00%,No,SUV
1167,03-01-2024 18:18,0,0.00%,No,SUV
1168,03-01-2024 18:21,0,0.00%,No,SUV
1169,03-01-2024 18:24,0,0.00%,No,SUV
1170,03-01-2024 18:27,0,0.00%,No,SUV
1171,03-01-2024 18:30,0,0.00%,No,SUV
1172,03-01-2024 18:33,0,0.00%,No,SUV
1173,03-01-2024 18:36,0,0.00%,No,SUV
1174,03-01-2024 18:39,0,0.00%,No,SUV
1175,03-01-2024 18:42,0,0.00%,No,SUV
1176,03-01-2024 18:45,0,0.00%,No,SUV
1177,03-01-2024 18:48,0,0.00%,No,SUV
1178,03-01-2024 18:51,0,0.00%,No,SUV
1179,03-01-2024 18:54,0,0.00%,No,SUV
1180,03-01-2024 18:57,0,0.00%,No,SUV
1181,03-01-2024 19:00,0,0.00%,No,SUV
1182,03-01-2024 19:03,300,100.00%,Yes,SUV
1183,03-01-2024 19:06,300,100.00%,Yes,SUV
1184,03-01-2024 19:09,300,100.00%,Yes,SUV
1185,03-01-2024 19:12,300,100.00%,Yes,SUV
1186,03-01-2024 19:15,300,100.00%,Yes,SUV
1187,03-01-2024 19:18,300,100.00%,Yes,SUV
1188,03-01-2024 19:21,300,100.00%,Yes,SUV
1189,03-01-2024 19:24,300,100.00%,Yes,SUV
1190,03-01-2024 19:27,300,100.00%,Yes,SUV
1191,03-01-2024 19:30,300,100.00%,Yes,SUV
1192,03-01-2024 19:33,300,100.00%,Yes,SUV
1193,03-01-2024 19:36,300,100.00%,Yes,SUV
1194,03-01-2024 19:39,300,100.00%,Yes,SUV
1195,03-01-2024 19:42,300,100.00%,Yes,SUV
1196,03-01-2024 19:45,300,100.00%,Yes,SUV
1197,03-01-2024 19:48,300,100.00%,Yes,SUV
1198,03-01-2024 19:51,300,100.00%,Yes,SUV
1199,03-01-2024 19:54,300,100.00%,Yes,SUV
1200,03-01-2024 19:57,300,100.00%,Yes,SUV
1201,03-01-2024 20:00,300,100.00%,Yes,SUV
1202,03-01-2024 20:03,300,100.00%,Yes,SUV
1203,03-01-2024 20:06,300,100.00%,Yes,SUV
1204,03-01-2024 20:09,300,100.00%,Yes,SUV
1205,03-01-2024 20:12,300,100.00%,Yes,SUV
1206,03-01-2024 20:15,300,100.00%,Yes,SUV
1207,03-01-2024 20:18,300,100.00%,Yes,SUV
1208,03-01-2024 20:21,300,100.00%,Yes,SUV
1209,03-01-2024 20:24,300,100.00%,Yes,SUV
1210,03-01-2024 20:27,300,100.00%,Yes,SUV
1211,03-01-2024 20:30,300,100.00%,Yes,SUV
1212,03-01-2024 20:33,300,100.00%,Yes,SUV
1213,03-01-2024 20:36,300,100.00%,Yes,SUV
1214,03-01-2024 20:39,300,100.00%,Yes,SUV
1215,03-01-2024 20:42,300,100.00%,Yes,SUV
1216,03-01-2024 20:45,300,100.00%,Yes,SUV
1217,03-01-2024 20:48,300,100.00%,Yes,SUV
1218,03-01-2024 20:51,300,100.00%,Yes,SUV
1219,03-01-2024 20:54,300,100.00%,Yes,SUV
1220,03-01-2024 20:57,300,100.00%,Yes,SUV
1221,03-01-2024 21:00,300,100.00%,Yes,SUV
1222,03-01-2024 21:03,300,100.00%,Yes,SUV
1223,03-01-2024 21:06,300,100.00%,Yes,SUV
1224,03-01-2024 21:09,300,100.00%,Yes,SUV
1225,03-01-2024 21:12,300,100.00%,Yes,SUV
1226,03-01-2024 21:15,300,100.00%,Yes,SUV
1227,03-01-2024 21:18,300,100.00%,Yes,SUV
1228,03-01-2024 21:21,300,100.00%,Yes,SUV
1229,03-01-2024 21:24,300,100.00%,Yes,SUV
1230,03-01-2024 21:27,300,100.00%,Yes,SUV
1231,03-01-2024 21:30,300,100.00%,Yes,SUV
1232,03-01-2024 21:33,300,100.00%,Yes,SUV
1233,03-01-2024 21:36,300,100.00%,Yes,SUV
1234,03-01-2024 21:39,300,100.00%,Yes,SUV
1235,03-01-2024 21:42,300,100.00%,Yes,SUV
1236,03-01-2024 21:45,300,100.00%,Yes,SUV
1237,03-01-2024 21:48,300,100.00%,Yes,SUV
1238,03-01-2024 21:51,300,100.00%,Yes,SUV
1239,03-01-2024 21:54,300,100.00%,Yes,SUV
1240,03-01-2024 21:57,300,100.00%,Yes,SUV
1241,03-01-2024 22:00,300,100.00%,Yes,SUV
1242,03-01-2024 22:03,300,100.00%,Yes,SUV
1243,03-01-2024 22:06,300,100.00%,Yes,SUV
1244,03-01-2024 22:09,300,100.00%,Yes,SUV
1245,03-01-2024 22:12,300,100.00%,Yes,SUV
1246,03-01-2024 22:15,300,100.00%,Yes,SUV
1247,03-01-2024 22:18,300,100.00%,Yes,SUV
1248,03-01-2024 22:21,300,100.00%,Yes,SUV
1249,03-01-2024 22:24,300,100.00%,Yes,SUV
1250,03-01-2024 22:27,300,100.00%,Yes,SUV
1251,03-01-2024 22:30,300,100.00%,Yes,SUV
1252,03-01-2024 22:33,300,100.00%,Yes,SUV
1253,03-01-2024 22:36,300,100.00%,Yes,SUV
1254,03-01-2024 22:39,300,100.00%,Yes,SUV
1255,03-01-2024 22:42,300,100.00%,Yes,SUV
1256,03-01-2024 22:45,300,100.00%,Yes,SUV
1257,03-01-2024 22:48,300,100.00%,Yes,SUV
1258,03-01-2024 22:51,300,100.00%,Yes,SUV
1259,03-01-2024 22:54,300,100.00%,Yes,SUV
1260,03-01-2024 22:57,300,100.00%,Yes,SUV
1261,03-01-2024 23:00,300,100.00%,Yes,SUV
1262,03-01-2024 23:03,300,100.00%,Yes,SUV
1263,03-01-2024 23:06,300,100.00%,Yes,SUV
1264,03-01-2024 23:09,300,100.00%,Yes,SUV
1265,03-01-2024 23:12,300,100.00%,Yes,SUV
1266,03-01-2024 23:15,300,100.00%,Yes,SUV
1267,03-01-2024 23:18,300,100.00%,Yes,SUV
1268,03-01-2024 23:21,300,100.00%,Yes,SUV
1269,03-01-2024 23:24,300,100.00%,Yes,SUV
1270,03-01-2024 23:27,300,100.00%,Yes,SUV
1271,03-01-2024 23:30,300,100.00%,Yes,SUV
1272,03-01-2024 23:33,300,100.00%,Yes,SUV
1273,03-01-2024 23:36,300,100.00%,Yes,SUV
1274,03-01-2024 23:39,300,100.00%,Yes,SUV
1275,03-01-2024 23:42,300,100.00%,Yes,SUV
1276,03-01-2024 23:45,300,100.00%,Yes,SUV
1277,03-01-2024 23:48,300,100.00%,Yes,SUV
1278,03-01-2024 23:51,300,100.00%,Yes,SUV
1279,03-01-2024 23:54,300,100.00%,Yes,SUV
1280,03-01-2024 23:57,300,100.00%,Yes,SUV
1281,04-01-2024 00:00,300,100.00%,Yes,SUV
1282,04-01-2024 00:03,300,100.00%,Yes,SUV
1283,04-01-2024 00:06,300,100.00%,Yes,SUV
1284,04-01-2024 00:09,300,100.00%,Yes,SUV
1285,04-01-2024 00:12,300,100.00%,Yes,SUV
1286,04-01-2024 00:15,300,100.00%,Yes,SUV
1287,04-01-2024 00:18,300,100.00%,Yes,SUV
1288,04-01-2024 00:21,300,100.00%,Yes,SUV
1289,04-01-2024 00:24,300,100.00%,Yes,SUV
1290,04-01-2024 00:27,300,100.00%,Yes,SUV
1291,04-01-2024 00:30,300,100.00%,Yes,SUV
1292,04-01-2024 00:33,300,100.00%,Yes,SUV
1293,04-01-2024 00:36,300,100.00%,Yes,SUV
1294,04-01-2024 00:39,300,100.00%,Yes,SUV
1295,04-01-2024 00:42,300,100.00%,Yes,SUV
1296,04-01-2024 00:45,300,100.00%,Yes,SUV
1297,04-01-2024 00:48,300,100.00%,Yes,SUV
1298,04-01-2024 00:51,300,100.00%,Yes,SUV
1299,04-01-2024 00:54,300,100.00%,Yes,SUV
1300,04-01-2024 00:57,300,100.00%,Yes,SUV
1301,04-01-2024 01:00,300,100.00%,Yes,SUV
1302,04-01-2024 01:03,300,100.00%,Yes,SUV
1303,04-01-2024 01:06,300,100.00%,Yes,SUV
1304,04-01-2024 01:09,300,100.00%,Yes,SUV
1305,04-01-2024 01:12,300,100.00%,Yes,SUV
1306,04-01-2024 01:15,300,100.00%,Yes,SUV
1307,04-01-2024 01:18,300,100.00%,Yes,SUV
1308,04-01-2024 01:21,300,100.00%,Yes,SUV
1309,04-01-2024 01:24,300,100.00%,Yes,SUV
1310,04-01-2024 01:27,300,100.00%,Yes,SUV
1311,04-01-2024 01:30,300,100.00%,Yes,SUV
1312,04-01-2024 01:33,300,100.00%,Yes,SUV
1313,04-01-2024 01:36,300,100.00%,Yes,SUV
1314,04-01-2024 01:39,300,100.00%,Yes,SUV
1315,04-01-2024 01:42,300,100.00%,Yes,SUV
1316,04-01-2024 01:45,300,100.00%,Yes,SUV
1317,04-01-2024 01:48,300,100.00%,Yes,SUV
1318,04-01-2024 01:51,300,100.00%,Yes,SUV
1319,04-01-2024 01:54,300,100.00%,Yes,SUV
1320,04-01-2024 01:57,300,100.00%,Yes,SUV
1321,04-01-2024 02:00,300,100.00%,Yes,SUV
1322,04-01-2024 02:03,300,100.00%,Yes,SUV
1323,04-01-2024 02:06,300,100.00%,Yes,SUV
1324,04-01-2024 02:09,300,100.00%,Yes,SUV
1325,04-01-2024 02:12,300,100.00%,Yes,SUV
1326,04-01-2024 02:15,300,100.00%,Yes,SUV
1327,04-01-2024 02:18,300,100.00%,Yes,SUV
1328,04-01-2024 02:21,300,100.00%,Yes,SUV
1329,04-01-2024 02:24,300,100.00%,Yes,SUV
1330,04-01-2024 02:27,300,100.00%,Yes,SUV
1331,04-01-2024 02:30,300,100.00%,Yes,SUV
1332,04-01-2024 02:33,300,100.00%,Yes,SUV
1333,04-01-2024 02:36,300,100.00%,Yes,SUV
1334,04-01-2024 02:39,300,100.00%,Yes,SUV
1335,04-01-2024 02:42,300,100.00%,Yes,SUV
1336,04-01-2024 02:45,300,100.00%,Yes,SUV
1337,04-01-2024 02:48,300,100.00%,Yes,SUV
1338,04-01-2024 02:51,300,100.00%,Yes,SUV
1339,04-01-2024 02:54,300,100.00%,Yes,SUV
1340,04-01-2024 02:57,300,100.00%,Yes,SUV
1341,04-01-2024 03:00,300,100.00%,Yes,SUV
1342,04-01-2024 03:03,300,100.00%,Yes,SUV
1343,04-01-2024 03:06,300,100.00%,Yes,SUV
1344,04-01-2024 03:09,300,100.00%,Yes,SUV
1345,04-01-2024 03:12,300,100.00%,Yes,SUV
1346,04-01-2024 03:15,300,100.00%,Yes,SUV
1347,04-01-2024 03:18,300,100.00%,Yes,SUV
1348,04-01-2024 03:21,300,100.00%,Yes,SUV
1349,04-01-2024 03:24,300,100.00%,Yes,SUV
1350,04-01-2024 03:27,300,100.00%,Yes,SUV
1351,04-01-2024 03:30,300,100.00%,Yes,SUV
1352,04-01-2024 03:33,300,100.00%,Yes,SUV
1353,04-01-2024 03:36,300,100.00%,Yes,SUV
1354,04-01-2024 03:39,300,100.00%,Yes,SUV
1355,04-01-2024 03:42,300,100.00%,Yes,SUV
1356,04-01-2024 03:45,300,100.00%,Yes,SUV
1357,04-01-2024 03:48,300,100.00%,Yes,SUV
1358,04-01-2024 03:51,300,100.00%,Yes,SUV
1359,04-01-2024 03:54,300,100.00%,Yes,SUV
1360,04-01-2024 03:57,300,100.00%,Yes,SUV
1361,04-01-2024 04:00,300,100.00%,Yes,SUV
1362,04-01-2024 04:03,300,100.00%,Yes,SUV
1363,04-01-2024 04:06,300,100.00%,Yes,SUV
1364,04-01-2024 04:09,300,100.00%,Yes,SUV
1365,04-01-2024 04:12,300,100.00%,Yes,SUV
1366,04-01-2024 04:15,300,100.00%,Yes,SUV
1367,04-01-2024 04:18,300,100.00%,Yes,SUV
1368,04-01-2024 04:21,300,100.00%,Yes,SUV
1369,04-01-2024 04:24,300,100.00%,Yes,SUV
1370,04-01-2024 04:27,300,100.00%,Yes,SUV
1371,04-01-2024 04:30,300,100.00%,Yes,SUV
1372,04-01-2024 04:33,300,100.00%,Yes,SUV
1373,04-01-2024 04:36,300,100.00%,Yes,SUV
1374,04-01-2024 04:39,300,100.00%,Yes,SUV
1375,04-01-2024 04:42,300,100.00%,Yes,SUV
1376,04-01-2024 04:45,300,100.00%,Yes,SUV
1377,04-01-2024 04:48,300,100.00%,Yes,SUV
1378,04-01-2024 04:51,300,100.00%,Yes,SUV
1379,04-01-2024 04:54,300,100.00%,Yes,SUV
1380,04-01-2024 04:57,300,100.00%,Yes,SUV
1381,04-01-2024 05:00,300,100.00%,Yes,SUV
1382,04-01-2024 05:03,300,100.00%,Yes,SUV
1383,04-01-2024 05:06,300,100.00%,Yes,SUV
1384,04-01-2024 05:09,300,100.00%,Yes,SUV
1385,04-01-2024 05:12,300,100.00%,Yes,SUV
1386,04-01-2024 05:15,300,100.00%,Yes,SUV
1387,04-01-2024 05:18,300,100.00%,Yes,SUV
1388,04-01-2024 05:21,300,100.00%,Yes,SUV
1389,04-01-2024 05:24,300,100.00%,Yes,SUV
1390,04-01-2024 05:27,300,100.00%,Yes,SUV
1391,04-01-2024 05:30,300,100.00%,Yes,SUV
1392,04-01-2024 05:33,300,100.00%,Yes,SUV
1393,04-01-2024 05:36,300,100.00%,Yes,SUV
1394,04-01-2024 05:39,300,100.00%,Yes,SUV
1395,04-01-2024 05:42,300,100.00%,Yes,SUV
1396,04-01-2024 05:45,300,100.00%,Yes,SUV
1397,04-01-2024 05:48,300,100.00%,Yes,SUV
1398,04-01-2024 05:51,300,100.00%,Yes,SUV
1399,04-01-2024 05:54,300,100.00%,Yes,SUV
1400,04-01-2024 05:57,300,100.00%,Yes,SUV
1401,04-01-2024 06:00,300,100.00%,Yes,SUV
1402,04-01-2024 06:03,300,100.00%,Yes,SUV
1403,04-01-2024 06:06,300,100.00%,Yes,SUV
1404,04-01-2024 06:09,300,100.00%,Yes,SUV
1405,04-01-2024 06:12,300,100.00%,Yes,SUV
1406,04-01-2024 06:15,300,100.00%,Yes,SUV
1407,04-01-2024 06:18,300,100.00%,Yes,SUV
1408,04-01-2024 06:21,300,100.00%,Yes,SUV
1409,04-01-2024 06:24,300,100.00%,Yes,SUV
1410,04-01-2024 06:27,300,100.00%,Yes,SUV
1411,04-01-2024 06:30,300,100.00%,Yes,SUV
1412,04-01-2024 06:33,300,100.00%,Yes,SUV
1413,04-01-2024 06:36,300,100.00%,Yes,SUV
1414,04-01-2024 06:39,300,100.00%,Yes,SUV
1415,04-01-2024 06:42,300,100.00%,Yes,SUV
1416,04-01-2024 06:45,300,100.00%,Yes,SUV
1417,04-01-2024 06:48,300,100.00%,Yes,SUV
1418,04-01-2024 06:51,300,100.00%,Yes,SUV
1419,04-01-2024 06:54,300,100.00%,Yes,SUV
1420,04-01-2024 06:57,300,100.00%,Yes,SUV
1421,04-01-2024 07:00,300,100.00%,Yes,SUV
1422,04-01-2024 07:03,300,100.00%,Yes,SUV
1423,04-01-2024 07:06,300,100.00%,Yes,SUV
1424,04-01-2024 07:09,300,100.00%,Yes,SUV
1425,04-01-2024 07:12,300,100.00%,Yes,SUV
1426,04-01-2024 07:15,300,100.00%,Yes,SUV
1427,04-01-2024 07:18,300,100.00%,Yes,SUV
1428,04-01-2024 07:21,300,100.00%,Yes,SUV
1429,04-01-2024 07:24,300,100.00%,Yes,SUV
1430,04-01-2024 07:27,300,100.00%,Yes,SUV
1431,04-01-2024 07:30,300,100.00%,Yes,SUV
1432,04-01-2024 07:33,300,100.00%,Yes,SUV
1433,04-01-2024 07:36,300,100.00%,Yes,SUV
1434,04-01-2024 07:39,300,100.00%,Yes,SUV
1435,04-01-2024 07:42,300,100.00%,Yes,SUV
1436,04-01-2024 07:45,300,100.00%,Yes,SUV
1437,04-01-2024 07:48,300,100.00%,Yes,SUV
1438,04-01-2024 07:51,300,100.00%,Yes,SUV
1439,04-01-2024 07:54,300,100.00%,Yes,SUV
1440,04-01-2024 07:57,300,100.00%,Yes,SUV
1441,04-01-2024 08:00,300,100.00%,Yes,SUV
1442,04-01-2024 08:03,300,100.00%,Yes,SUV
1443,04-01-2024 08:06,300,100.00%,Yes,SUV
1444,04-01-2024 08:09,300,100.00%,Yes,SUV
1445,04-01-2024 08:12,300,100.00%,Yes,SUV
1446,04-01-2024 08:15,300,100.00%,Yes,SUV
1447,04-01-2024 08:18,300,100.00%,Yes,SUV
1448,04-01-2024 08:21,300,100.00%,Yes,SUV
1449,04-01-2024 08:24,300,100.00%,Yes,SUV
1450,04-01-2024 08:27,300,100.00%,Yes,SUV
1451,04-01-2024 08:30,300,100.00%,Yes,SUV
1452,04-01-2024 08:33,300,100.00%,Yes,SUV
1453,04-01-2024 08:36,300,100.00%,Yes,SUV
1454,04-01-2024 08:39,300,100.00%,Yes,SUV
1455,04-01-2024 08:42,295,98.33%,Yes,SUV
1456,04-01-2024 08:45,294,98.00%,Yes,SUV
1457,04-01-2024 08:48,293,97.67%,Yes,SUV
1458,04-01-2024 08:51,292,97.33%,Yes,SUV
1459,04-01-2024 08:54,291,97.00%,Yes,SUV
1460,04-01-2024 08:57,290,96.67%,Yes,SUV
1461,04-01-2024 09:00,290,96.67%,Yes,SUV
1462,04-01-2024 09:03,270,90.00%,Yes,SUV
1463,04-01-2024 09:06,250,83.33%,Yes,SUV
1464,04-01-2024 09:09,240,80.00%,Yes,SUV
1465,04-01-2024 09:12,220,73.33%,Yes,SUV
1466,04-01-2024 09:15,205,68.33%,Yes,SUV
1467,04-01-2024 09:18,189,63.00%,Yes,SUV
1468,04-01-2024 09:21,173,57.67%,Yes,SUV
1469,04-01-2024 09:24,157,52.33%,Yes,SUV
1470,04-01-2024 09:27,141,47.00%,Yes,SUV
1471,04-01-2024 09:30,125,41.67%,Yes,SUV
1472,04-01-2024 09:33,109,36.33%,Yes,SUV
1473,04-01-2024 09:36,93,31.00%,Yes,SUV
1474,04-01-2024 09:39,77,25.67%,Yes,SUV
1475,04-01-2024 09:42,61,20.33%,Yes,SUV
1476,04-01-2024 09:45,45,15.00%,No,SUV
1477,04-01-2024 09:48,29,9.67%,No,SUV
1478,04-01-2024 09:51,13,4.33%,No,SUV
1479,04-01-2024 09:54,5,1.67%,No,SUV
1480,04-01-2024 09:57,0,0.00%,No,SUV
1481,04-01-2024 10:00,0,0.00%,No,SUV
1482,04-01-2024 10:03,0,0.00%,No,SUV
1483,04-01-2024 10:06,0,0.00%,No,SUV
1484,04-01-2024 10:09,0,0.00%,No,SUV
1485,04-01-2024 10:12,0,0.00%,No,SUV
1486,04-01-2024 10:15,0,0.00%,No,SUV
1487,04-01-2024 10:18,0,0.00%,No,SUV
1488,04-01-2024 10:21,0,0.00%,No,SUV
1489,04-01-2024 10:24,0,0.00%,No,SUV
1490,04-01-2024 10:27,0,0.00%,No,SUV
1491,04-01-2024 10:30,0,0.00%,No,SUV
1492,04-01-2024 10:33,0,0.00%,No,SUV
1493,04-01-2024 10:36,0,0.00%,No,SUV
1494,04-01-2024 10:39,0,0.00%,No,SUV
1495,04-01-2024 10:42,0,0.00%,No,SUV
1496,04-01-2024 10:45,0,0.00%,No,SUV
1497,04-01-2024 10:48,0,0.00%,No,SUV
1498,04-01-2024 10:51,0,0.00%,No,SUV
1499,04-01-2024 10:54,0,0.00%,No,SUV
1500,04-01-2024 10:57,0,0.00%,No,SUV
1501,04-01-2024 11:00,0,0.00%,No,SUV
1502,04-01-2024 11:03,0,0.00%,No,SUV
1503,04-01-2024 11:06,0,0.00%,No,SUV
1504,04-01-2024 11:09,0,0.00%,No,SUV
1505,04-01-2024 11:12,0,0.00%,No,SUV
1506,04-01-2024 11:15,0,0.00%,No,SUV
1507,04-01-2024 11:18,0,0.00%,No,SUV
1508,04-01-2024 11:21,0,0.00%,No,SUV
1509,04-01-2024 11:24,0,0.00%,No,SUV
1510,04-01-2024 11:27,0,0.00%,No,SUV
1511,04-01-2024 11:30,0,0.00%,No,SUV
1512,04-01-2024 11:33,0,0.00%,No,SUV
1513,04-01-2024 11:36,0,0.00%,No,SUV
1514,04-01-2024 11:39,0,0.00%,No,SUV
1515,04-01-2024 11:42,0,0.00%,No,SUV
1516,04-01-2024 11:45,0,0.00%,No,SUV
1517,04-01-2024 11:48,0,0.00%,No,SUV
1518,04-01-2024 11:51,0,0.00%,No,SUV
